Cod. PLU;Cod. PLU Retailer;ProductId;Brand;Model;Tipo de producto;Tipo de combustible;Capacidad por minuto;Capacidad por volumen;Calefones Tiro Natural;Capacidad;Desc. Producto;Producto
CASM18KBTU;5582938;900000011;Bosch;CASM18KBTU;Aire Acondicionado;Eléctrico - 2;-1;-1;False;18000;AIRE ACONDICIONADO SPLIT INVERTER 18000BTU;Bosch-AIRE ACONDICIONADO SPLIT INVERTER 18000BTU
CASM24KBTU;5590132;900000012;Bosch;CASM24KBTU;Aire Acondicionado;Eléctrico - 2;-1;-1;False;24000;AIRE ACONDICIONADO SPLIT INVERTER 24000BTU;Bosch-AIRE ACONDICIONADO SPLIT INVERTER 24000BTU
7738336938;1308616;900000013;Bosch;2500W;Convector;Eléctrico - 2;-1;-1;False;2500;CONVECTOR ELÉCTRICO 2500 W;Bosch-CONVECTOR ELÉCTRICO 2500 W
7736502711;1140501;181992429;Junkers;50 litros Elacell Excellence;Termo;Eléctrico;-1;50;False;50;TERMO ELÉCTRICO 50L ELACELL EXCELLENCE;Junkers-TERMO ELÉCTRICO 50L ELACELL EXCELLENCE
7736501834;2956993;181992429;Junkers;50 litros Elacell Excellence;Termo;Eléctrico;-1;50;False;50;TERMO ELECTRICO 50L NECKAR;Junkers-TERMO ELECTRICO 50L NECKAR
7736503377;4115066;181992524;Junkers;120 litros Elacell;Termo;Eléctrico;-1;120;False;120;TERMO ELÉCTRICO 120L ELACELL;Junkers-TERMO ELÉCTRICO 120L ELACELL
7736502712;1140502;181992343;Junkers;75 litros Elacell Excellence;Termo;Eléctrico;-1;75;False;75;TERMO ELÉCTRICO 75L ELACELL EXCELLENCE;Junkers-TERMO ELÉCTRICO 75L ELACELL EXCELLENCE
7736501835;2957000;181992343;Junkers;75 litros Elacell Excellence;Termo;Eléctrico;-1;75;False;75;TERMO ELECTRICO 80L NECKAR;Junkers-TERMO ELECTRICO 80L NECKAR
7736502714;1140504;181992339;Junkers;120 litros Elacell Excellence;Termo;Eléctrico;-1;120;False;120;TERMO ELÉCTRICO 120L ELACELL EXCELLENCE;Junkers-TERMO ELÉCTRICO 120L ELACELL EXCELLENCE
7736501836;2957027;181992339;Junkers;120 litros Elacell Excellence;Termo;Eléctrico;-1;120;False;120;TERMO ELECTRICO 120L NECKAR;Junkers-TERMO ELECTRICO 120L NECKAR
7736503360;4115074;181992419;Junkers;80 litros Elacell;Termo;Eléctrico;-1;80;False;80;TERMO ELÉCTRICO 80L ELACELL;Junkers-TERMO ELÉCTRICO 80L ELACELL
7736503357;411504X;181992407;Junkers;30 litros Elacell;Termo;Eléctrico;-1;30;False;30;TERMO ELÉCTRICO 30L ELACELL;Junkers-TERMO ELÉCTRICO 30L ELACELL
7736501837;2957019;181992300;Junkers;Excellence;Termo;Eléctrico;-1;100;False;100;TERMO ELECTRICO 100L NECKAR;Junkers-TERMO ELECTRICO 100L NECKAR
7736502713;1140503;181992300;Junkers;Excellence;Termo;Eléctrico;-1;100;False;100;TERMO ELÉCTRICO 100L ELACELL EXCELLENCE;Junkers-TERMO ELÉCTRICO 100L ELACELL EXCELLENCE
7736503216;3564371;181992636;Junkers;150 litros Elacell Excellence;Termo;Eléctrico;-1;150;False;150;TERMO ELÉCTRICO 150L ELACELL EXCELLENCE;Junkers-TERMO ELÉCTRICO 150L ELACELL EXCELLENCE
7736503375;1242464;282054361;Junkers;ELACELL;Termo;Eléctrico;-1;100;False;100;TERMO ELÉCTRICO 100L ELACELL;Junkers-TERMO ELÉCTRICO 100L ELACELL
7736503358;1242462;270982515;Junkers;ELACELL50;Termo;Eléctrico;-1;50;False;50;TERMO ELÉCTRICO 50L ELACELL;Junkers-TERMO ELÉCTRICO 50L ELACELL
7736503349;7382707;314668276;Bosch;Tronic 2000 T;Termo;Eléctrico;-1;80;False;80;TERMO 80 LITROS TR2000T BOSCH;Bosch-TERMO 80 LITROS TR2000T BOSCH
7736503353;7382693;311634384;Bosch;Tronic 2000 T;Termo;Eléctrico;-1;120;False;120;TERMO 120 LITROS TR2000T BOSCH;Bosch-TERMO 120 LITROS TR2000T BOSCH
7736503351;7382715;311634569;Bosch;Tronic 2000 T;Termo;Eléctrico;-1;100;False;100;TERMO 100 LITROS TR2000T BOSCH;Bosch-TERMO 100 LITROS TR2000T BOSCH
7736503347;7382677;322896030;Bosch;Tronic 2000T;Termo;Eléctrico;-1;50;False;50;TERMO 50 LITROS TR2000T BOSCH;Bosch-TERMO 50 LITROS TR2000T BOSCH
7736503346;7406622;311689959;Bosch;Tronic 2000 T;Termo;Eléctrico;-1;30;False;30;TERMO 30 LITROS TR2000T BOSCH;Bosch-TERMO 30 LITROS TR2000T BOSCH
7736502724;751977X;340525730;Bosch;TRONIC8000T;Termo;Eléctrico;-1;120;False;120;TERMO ELÉCTRICO 120L TRONIC 8000 T;Bosch-TERMO ELÉCTRICO 120L TRONIC 8000 T
7736502723;7519761;340525790;Bosch;TRONIC8000T;Termo;Eléctrico;-1;100;False;100;TERMO ELÉCTRICO 100L TRONIC 8000 T;Bosch-TERMO ELÉCTRICO 100L TRONIC 8000 T
7736502722;7519753;327215850;Bosch;75 LITROS - TRONIC 8000 T;Termo;Eléctrico;-1;75;False;75;TERMO ELÉCTRICO 75L TRONIC 8000 T;Bosch-TERMO ELÉCTRICO 75L TRONIC 8000 T
7736503218;7519788;340525813;Bosch;TRONIC8000T;Termo;Eléctrico;-1;150;False;150;TERMO ELÉCTRICO 150L TRONIC 8000 T;Bosch-TERMO ELÉCTRICO 150L TRONIC 8000 T
7736501833;2956985;900000015;Neckar;35L;Termo;Eléctrico;-1;35;False;35;TERMO ELECTRICO 35L NECKAR;Neckar-TERMO ELECTRICO 35L NECKAR
